code,level-front-120,level-future-120,trend,front-min_time,front-min_up_or_down,front-max_time,front-max_up_or_down,future-min_time,future-min_up_or_down,future-max_time,future-max_up_or_down,percent
603918.SH金桥信息,1.02388187438501,-0.8666998120758472,-1.8905816864608571,2023-04-23 00:00:00,-5.939743712366979,2023-03-30 00:00:00,9.130443697577894,2023-06-22 00:00:00,-6.846894804601267,2023-08-14 00:00:00,6.438952275616957,0.6904761904761905
300168.SZ万达信息,2.9455864714060094,1.055256545820903,-1.8903299255851065,2023-05-23 00:00:00,-3.8597756713706217,2023-04-24 00:00:00,8.421117831862269,2023-09-20 00:00:00,-6.414120862561769,2023-06-23 00:00:00,6.547338116517261,0.8113207547169812
002863.SZ今飞凯达,-2.2473944799445644,-4.1357312369148955,-1.888336756970331,2023-05-24 00:00:00,-7.746780659263684,2023-03-18 00:00:00,5.190674627935514,2023-07-23 00:00:00,-9.611432347208366,2023-09-14 00:00:00,3.4548476761917684,0.5
300729.SZ乐歌股份,1.3448605682711152,-0.5388198999539942,-1.8836804682251094,2023-02-17 00:00:00,-6.602903707172212,2023-04-01 00:00:00,7.310853270890281,2023-08-16 00:00:00,-7.129366521937032,2023-06-19 00:00:00,6.000577760362359,0.7567567567567568
300678.SZ中科信息,1.3928375939361715,-0.4563688908428341,-1.8492064847790055,2023-02-16 00:00:00,-4.742834525882362,2023-04-28 00:00:00,9.115168168587502,2023-07-04 00:00:00,-5.8773725149379965,2023-09-22 00:00:00,5.993204385895835,0.7435897435897436
002858.SZ力盛体育,2.680469810491486,0.8368182217651682,-1.8436515887263178,2023-05-21 00:00:00,-4.74641685099713,2023-04-07 00:00:00,9.104106706285098,2023-07-06 00:00:00,-6.0303750130151075,2023-09-06 00:00:00,6.756788214897114,0.7894736842105263
300545.SZ联得装备,3.5917355573418113,1.7529231582226508,-1.8388123991191605,2023-05-07 00:00:00,-3.146597194095083,2023-03-15 00:00:00,9.722470927277964,2023-09-04 00:00:00,-5.0514926795944195,2023-07-13 00:00:00,7.458581999779441,0.9193548387096774
300308.SZ中际旭创,1.3703340619668616,-0.46285946174263215,-1.8331935237094936,2023-05-08 00:00:00,-5.14949922128069,2023-02-23 00:00:00,7.88217108290287,2023-07-07 00:00:00,-6.556171810512718,2023-08-22 00:00:00,6.399638904346866,0.8292682926829268
300669.SZ沪宁股份,2.9750579935567636,1.15552720023196,-1.8195307933248035,2023-03-19 00:00:00,-3.479644378559934,2023-05-15 00:00:00,8.961107951017304,2023-09-15 00:00:00,-5.241742909893632,2023-07-14 00:00:00,7.418043254872235,0.9322033898305084
300404.SZ博济医药,2.376153390499764,0.557359061719924,-1.81879432877984,2023-02-02 00:00:00,-4.8354102643910375,2023-02-11 00:00:00,8.926999037390491,2023-07-07 00:00:00,-7.558585257744866,2023-06-11 00:00:00,6.443853126216664,0.5849056603773585
603156.SH养元饮品,0.07718744692992308,-1.7253438908274727,-1.802531337757396,2023-03-19 00:00:00,-7.25691205990486,2023-04-17 00:00:00,6.121001990839206,2023-07-17 00:00:00,-9.574488607165051,2023-09-28 00:00:00,4.401053388802112,0.5263157894736842
603860.SH中公高科,2.6138026752550307,0.8221378131305509,-1.7916648621244797,2023-04-18 00:00:00,-5.312987803366089,2023-03-28 00:00:00,9.907703690392502,2023-06-17 00:00:00,-6.488168545406648,2023-09-24 00:00:00,6.715053885082112,0.7446808510638298
000544.SZ中原环保,-1.4448890327317616,-3.2296351683601823,-1.7847461356284207,2023-02-03 00:00:00,-8.46509288699325,2023-02-06 00:00:00,7.466152549514492,2023-07-06 00:00:00,-8.706751974498077,2023-08-05 00:00:00,4.9578352552038885,0.7804878048780488
603937.SH丽岛新材,-2.676584254751714,-4.458999142166267,-1.7824148874145527,2023-03-02 00:00:00,-8.68978199746301,2023-05-31 00:00:00,4.525109917055442,2023-07-07 00:00:00,-9.549333013401341,2023-08-27 00:00:00,4.083599538680506,0.7169811320754716
002832.SZ比音勒芬,-0.36510796102147564,-2.142878967261097,-1.7777710062396215,2023-05-22 00:00:00,-6.690794546833478,2023-02-18 00:00:00,6.818960129421529,2023-08-28 00:00:00,-9.304563010181374,2023-07-26 00:00:00,6.242518610513515,0.5833333333333334
300494.SZ盛天网络,1.0234049832696388,-0.7423259201859203,-1.765730903455559,2023-05-21 00:00:00,-5.951745881030211,2023-03-27 00:00:00,10.0,2023-07-20 00:00:00,-6.5654536610073535,2023-09-23 00:00:00,5.831923374496484,0.7045454545454546
300192.SZ科德教育,1.9130589294530584,0.14787905700434106,-1.7651798724487173,2023-03-20 00:00:00,-4.725044430908567,2023-05-31 00:00:00,8.636415865054985,2023-09-16 00:00:00,-5.83756174015234,2023-07-30 00:00:00,8.28535910173417,0.8297872340425532
300634.SZ彩讯股份,1.4454114887038938,-0.3178403281425128,-1.7632518168464066,2023-03-02 00:00:00,-5.855140248681783,2023-04-24 00:00:00,8.47907049897906,2023-08-29 00:00:00,-6.578850160934586,2023-06-23 00:00:00,6.205478909237962,0.7608695652173914
